title;artist
Vampire;Olivia Rodrigo
Paint The Town Red;Doja Cat
I Remember Everything;Zach Bryan Featuring Kacey Musgraves
Fast Car;Luke Combs
Cruel Summer;Taylor Swift
Last Night;Morgan Wallen
Bad Idea Right?;Olivia Rodrigo
Snooze;SZA
Fukumean;Gunna
Dance The Night;Dua Lipa
Get Him Back!;Olivia Rodrigo
Calm Down;Rema & Selena Gomez
All-American Bitch;Olivia Rodrigo
Bongos;Cardi B & Megan Thee Stallion
Barbie World;Nicki Minaj & Ice Spice With Aqua
The Grudge;Olivia Rodrigo
Flowers;Miley Cyrus
All My Life;Lil Durk Featuring J. Cole
Making The Bed;Olivia Rodrigo
Logical;Olivia Rodrigo
Religiously;Bailey Zimmerman
Rich Men North Of Richmond;Oliver Anthony Music
Lacy;Olivia Rodrigo
Ballad Of A Homeschooled Girl;Olivia Rodrigo
Love Is Embarrassing;Olivia Rodrigo
Used To Be Young;Miley Cyrus
Thinkin' Bout Me;Morgan Wallen
Need A Favor;Jelly Roll
Kill Bill;SZA
Pretty Isn't Pretty;Olivia Rodrigo
Anti-Hero;Taylor Swift
What Was I Made For?;Billie Eilish
Peaches & Eggplants;Young Nudy Featuring 21 Savage
Hey Driver;Zach Bryan Featuring The War And Treaty
Creepin';Metro Boomin, The Weeknd & 21 Savage
Karma;Taylor Swift Featuring Ice Spice
Meltdown;Travis Scott Featuring Drake
Dial Drunk;Noah Kahan With Post Malone
Teenage Dream;Olivia Rodrigo
Watermelon Moonshine;Lainey Wilson
I Know ?;Travis Scott
Qlona;Karol G & Peso Pluma
Try That In A Small Town;Jason Aldean
Seven;Jung Kook Featuring Latto
Tourniquet;Zach Bryan
What It Is (Block Boy);Doechii Featuring Kodak Black
Single Soon;Selena Gomez
Daylight;David Kushner
Love You Anyway;Luke Combs
Bury Me In Georgia;Kane Brown
Slow Dancing;V
Spotless;Zach Bryan Featuring The Lumineers
Lady Gaga;Peso Pluma, Gabito Ballesteros & Junior H
Mi Ex Tenia Razon;Karol G
East Side Of Sorrow;Zach Bryan
Save Me;Jelly Roll With Lainey Wilson
LaLa;Myke Towers
Good Good;Usher, Summer Walker & 21 Savage
In Your Love;Tyler Childers
Bipolar;Peso Pluma x Jasiel Nunez x Junior H
White Horse;Chris Stapleton
Last Time I Saw You;Nicki Minaj
Telekinesis;Travis Scott Featuring SZA & Future
FE!N;Travis Scott Featuring Playboi Carti
Popular;The Weeknd, Playboi Carti & Madonna
SkeeYee;Sexyy Red
Everything I Love;Morgan Wallen
Que Onda;Calle 24 x Chino Pacas x Fuerza Regida
Angels Don't Always Have Wings;Thomas Rhett
Lose Control;Teddy Swims
Deli;Ice Spice
Tulum;Peso Pluma & Grupo Frontera
Truck Bed;HARDY
Sabor Fresa;Fuerza Regida
Fear And Friday's;Zach Bryan
El Dorado;Zach Bryan
Johnny Dang;That Mexican OT, Paul Wall & DRODi
Oh U Went;Young Thug Featuring Drake
Put It On Da Floor Again;Latto Featuring Cardi B
Where She Goes;Bad Bunny
Ticking;Zach Bryan
Summertime's Close;Zach Bryan
Dawns;Zach Bryan Featuring Maggie Rogers
Oklahoma Smoke Show;Zach Bryan
Call Your Friends;Rod Wave
Overtime;Zach Bryan
Pretty Little Poison;Warren Zeiders
Come See Me;Rod Wave
El Amor de Su Vida;Grupo Frontera & Grupo Firme
Holy Roller;Zach Bryan Featuring Sierra Ferrell
Girl In Mine;Parmalee
Smaller Acts;Zach Bryan
Fight The Feeling;Rod Wave
K-POP;Travis Scott, Bad Bunny & The Weeknd
Summer Too Hot;Chris Brown
Lagunas;Peso Pluma & Jasiel Nunez
Sittin' On Top Of The World;Burna Boy
Rubicon;Peso Pluma
TQM;Fuerza Regida
Amargura;Karol G
